Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
@jisungkhami Tu mudou a foto do perfil?,2020-11-10 01:52:13,pt,,0.0,0.0,@jisungkhami,Aurea,"bts & txt | universitária | lendo HP | sou legal, podem interagir comigo ^^",7119.0,24677.0,1555.0,941.0,2.0,False,,,@aurea_hjk
"Se eu fosse de bh, acho q eu iria no João Vitor Xavier.",2020-11-10 01:51:18,pt,,0.0,0.0,,joao🎉,"𝔹𝕖 𝕥𝕙𝕖 𝕔𝕙𝕒𝕟𝕘𝕖 𝕪𝕠𝕦 𝕨𝕚𝕤𝕙 𝕥𝕠 𝕤𝕖𝕖 𝕚𝕟 𝕥𝕙𝕖 𝕨𝕠𝕣𝕝𝕕. ❀

ㅤㅤㅤㅤ ㅤㅤ",23662.0,9955.0,2389.0,2544.0,3.0,False,,,@jvxons
eu n aguento mais esse João Vitor Xavier,2020-11-10 01:50:38,pt,,1.0,1.0,,sâmara sá,yo voy a ver y te aviso,68923.0,57049.0,1447.0,2446.0,1.0,False,,,@samarassa_
KKKKKKKKKKKKKKKKK QUEM FAZ A CAMPANHA DO KALIL VEI https://t.co/12bdiZbZCe,2020-11-10 01:50:32,pt,,0.0,0.0,,giovanna,personalidade nova da @anyatlorjoy,439.0,212.0,44.0,45.0,0.0,False,,,@anyatalorjoy
Acho que depois dessa propaganda o Kalil atinge os 80% de intenção de voto https://t.co/GWSVgTs1dw,2020-11-10 01:49:58,pt,,0.0,0.0,,João Vicente Nascimento Lins,EU AVISEI!!!,69003.0,37435.0,1440.0,564.0,11.0,False,,,@dextervicente
Áurea é definitivamente tudo o que espero de uma figura política,2020-11-10 01:49:10,pt,,0.0,0.0,@grigakahlo,Olivia Pope do Guará,"Ciência Política, diálogo inter-religioso e luta antirracista.",74723.0,54576.0,1086.0,1300.0,2.0,False,,,@grigakahlo
@kalilzin_ @masu_gabriel kalil vai arrumar alguma coisa pra fazer e não me estressa,2020-11-10 01:49:05,pt,,1.0,0.0,@kalilzin_,𝕴𝖟𝖆 🌪,⚯͛ ♡,2889.0,1060.0,391.0,373.0,0.0,False,,,@izaa_belly_
"Fora Kalil, que venha Bruno Engler. https://t.co/0kayC5vWtY",2020-11-10 01:47:45,pt,,10.0,1.0,,Mari Sasso,,32964.0,180031.0,10276.0,10234.0,2.0,False,,,@MarinezSasso
@Jplolll1 É confortável,2020-11-10 01:47:15,pt,,0.0,0.0,@Jplolll1,kamarada,You know I read it in a magazine,4871.0,25741.0,233.0,177.0,2.0,False,,,@kalil_pz
"@_zanforlinnl Tem candidato aí falando que é renovação mas que foi apadrinhado por Anastasia, João Vitor Xavier e também pelo Vitor Penido (apesar de ter passado quatro anos juntos, agora fala que é diferente). Eu não caio nessa",2020-11-10 01:46:47,pt,,0.0,0.0,@_zanforlinnl,Bráulio Nereu 50.333,Candidato a vereador,109.0,1119.0,269.0,56.0,0.0,False,,,@BraulioNereu
"@tonyangely eu passei a respeitar e acompanhar mais o kalil por causa da pandemia mesmo, mas depois só vi comentários positivos sobre a gestão dele em bh (vindo inclusive de pessoas não tinham votado nele em 16), uma grata surpresa",2020-11-10 01:46:08,pt,,0.0,0.0,@tonyangely,Gustavo Marques em 🏠,sommelier de séries e comentarista de futebóis nas horas vagas | social-democrata | #cfc #ktbffh,23205.0,10119.0,747.0,264.0,1.0,False,,,@marquesgust
"kkkkkkkkkkk ""é uma porcaria mas é a melhor porcaria do Brasil"" meu deus eu amo o kalil https://t.co/YxoqLb791Q",2020-11-10 01:45:50,pt,,0.0,0.0,,Fernanda,🔮✨,5355.0,7718.0,168.0,33.0,0.0,False,,,@solemleao_
"@RafaelFontana Rafael, o Kalil vai vencer no primeiro turno com mais de 70 por cento. Nao tem concorrente.",2020-11-10 01:44:27,pt,,0.0,0.0,@RafaelFontana,Luiz Carlos Tortieri,"Jamais interrompa seu inimigo quando ele estiver cometendo um erro.
Napoleao Bonaparte",16518.0,1068.0,703.0,160.0,0.0,False,,,@TORTIERE
Saka postou um vídeo dela com Kalil e Iza virando dose ontem. Elas fazendo careta e Kalil plenissimo como se fosse água. Fyno.,2020-11-10 01:44:15,pt,,4.0,0.0,,Lary,A capa já diz tudo,5659.0,9750.0,297.0,346.0,22.0,False,,,@laryssaadler
"@kalilzin_ @masu_gabriel você é escroto kalil, me erra",2020-11-10 01:43:12,pt,,1.0,0.0,@kalilzin_,𝕴𝖟𝖆 🌪,⚯͛ ♡,2889.0,1060.0,391.0,373.0,0.0,False,,,@izaa_belly_
