Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
Tô preparando a minha cabeça para explodir quando o Kalil perder,2020-11-15 17:26:53,pt,,0.0,0.0,,FORA BOLSOLIXO ✊🏻✊🏻✊🏻✊🏻✊🏻,"Future ballet dancer 🩰 , Autistic Princess 💙👸🏻 , Uniter 🇩🇪 , Anti Bolsonaro ✊🏻",937.0,46.0,127.0,21.0,0.0,False,,,@JuBalletDancer
Meu voto esse kalil nunca terá!,2020-11-15 17:26:49,pt,,0.0,0.0,,Alexandre Magno,Cruzeiro,63564.0,15126.0,3980.0,7005.0,8.0,False,,,@magno_cec
Eu vou morrer achando que não votar é a melhor solução mas nesses últimos casos eu prefiro ir e votar nulo pq ninguém me representa além da aurea pq eu conheço ela das ruas,2020-11-15 17:26:45,pt,BR,22.0,3.0,,PASSAROS OUT NOW 🕊,Chris,52522.0,41447.0,268.0,286001.0,43.0,False,,,@Ochrismc
Kalil vai é ganhar dnv,2020-11-15 17:26:43,pt,,0.0,0.0,,Lekin,@Atletico❤,8667.0,10969.0,314.0,319.0,0.0,False,,,@aleexis1999
@_zero_souza áurea carolina e iza lourença,2020-11-15 17:26:27,pt,,0.0,0.0,@_zero_souza,lua ☾,ela ☭ dela,52988.0,1801.0,1157.0,2157.0,3.0,False,,,@luaXromani
"votei na maravilhosa Áurea Carolina... Mulher, negra e forte. 

Vai ganhar??? Provavelmente não... Acho real que o Kalil leva essa no primeiro turno... Porém minha parte fiz e não me arrependo 😌",2020-11-15 17:26:18,pt,,0.0,0.0,,Key,Tentando sobreviver nessa selva.,2660.0,13328.0,377.0,326.0,0.0,False,,,@Almost_Invi
"cruzeirense q nao vota no kalil tem q tomar um tapa no pé da oreia memo, tem q ser mt retardado p pensar em futebol até numa hora dessas",2020-11-15 17:25:56,pt,,1.0,0.0,,gentil {6-2},young drunk law school kid • @cheeseHdazueira •,26569.0,99465.0,369.0,405.0,2.0,False,,,@_camillagm
mt gatilho ir no áurea pra votar,2020-11-15 17:25:36,pt,,0.0,0.0,,scristine✨,facilmente impressionável // bio - UNESP🌻,7803.0,59737.0,197.0,139.0,0.0,False,,,@scristinesl
"fui votar e vi meu ídolo Kalil lá, ganhei meu dia 😝😝",2020-11-15 17:25:35,pt,,1.0,0.0,,ؘpol¡ fla125,"by order of the Peaky Blinders
@vicxsccp ♡",4604.0,498.0,363.0,333.0,1.0,False,,,@jxhnshelby
"Envio automático de mail para que o Pag Seguro não ceda às pressões do Sleep Giants contra o Professor Olavo de Carvalho. Basta preencher e enviar. Vamos colaborar! 💪🏼👊🏼

https://t.co/jMlBfoEUAm",2020-11-15 17:24:43,pt,,0.0,0.0,,ÁureaBB 🇧🇷🇮🇱🇺🇲 🦞,"🇧🇷🇧🇷🇧🇷 Advogada, unida à Direita brasileira contra o socialismo.
O preço da liberdade é a eterna vigilância. 🇧🇷🇧🇷🇧🇷",3473.0,29118.0,454.0,293.0,0.0,False,,,@aurea_sobrinho
"Emocionada 😭😭😭😭 minha irmã bolsonara votou na @aureacarolinax 😭😭 ainda que fosse pra contrariar o namorado chato, fui eu quem mandei o numero e as propostas pra ajudar a convencer, pronto, coronga da aurea foi honrado 😭💜",2020-11-15 17:24:20,pt,,0.0,0.0,,𝓒𝓪𝓽𝓪𝓻𝓲𝓷𝓪 𝓡𝓸𝓾𝓼𝓼𝓮𝓯 𝓭𝓮 𝓜𝓮𝓷𝓲𝓷,Antifa. Atleticana. Atacante. Amiga. Amada. 🌹,97039.0,199708.0,3698.0,2155.0,16.0,False,,,@Intermexe
"@quiksilver1921 Pior é ver os mesmos dizendo q votam, não sei se é pelo simples déficit de conhecimento ou por pura aventura, mas aceitar q esse kalil governe Bh é de uma afronta a quem trabalha ! Deem uma olhada na vida desse cara gente, acordem!",2020-11-15 17:24:15,pt,,0.0,0.0,@quiksilver1921,Victorarcanjoo,"florestaorganicamoc
##CRUZEIRO
https://t.co/qIg0Hvj8Po",5412.0,146799.0,4470.0,566.0,0.0,False,,,@Victorarcanjoo1
"NAO USE DROGAS: Com 2% nas pesquisas, candidato a prefeito #Bolsoninion @BrunoEnglerDM vota em e afirma: 
'A apuração das urnas vai surpreender' https://t.co/G7D0o9L47b",2020-11-15 17:23:50,pt,,0.0,0.0,,RegisGalo13,"Ashkenazi Jew from Salonika.
Information Management.
Big Data & Metadata analysis.
Fraud detection.
Rua Zodiaco 564 ap 2100, 
Sta Lúcia, BH, 
31.9.9984.0810",180049.0,30019.0,5155.0,8273.0,34.0,False,,,@RegisGalo_13
