Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"Em BH, o prefeito Kalil, que deve vencer logo de primeira, pede votos para o seu líder de governo, o vereador @LeoBurgues . Veja o vídeo: https://t.co/bJ3xXRmoTY",2020-11-11 20:59:08,pt,,0.0,0.0,,Camila,Arquitetura e elegância.,18410.0,275.0,1990.0,603.0,3.0,False,,,@camiladce
@lindaa_aurea Vc fica me imitando zee,2020-11-11 20:58:51,pt,,0.0,0.0,@lindaa_aurea,PGvieira💥,viva a vida 🤙,421.0,484.0,172.0,106.0,0.0,False,,,@PauloGeovanny4
vou-vou de kalil mais uma vez https://t.co/sbkf9ktZJ1,2020-11-11 20:58:32,pt,,0.0,0.0,@fuckinmadhatter,payla 🌹BH É DUDA 12000,"assim como a nara leão, tenho muitos amigos e sou popular.                                                          ║refuse/resist║",363321.0,6544.0,2172.0,10808.0,53.0,False,,,@fuckinmadhatter
só que a queda que eu levei de moto pqp vai se foderr,2020-11-11 20:58:30,pt,,0.0,0.0,,zélol,,8306.0,7246.0,286.0,436.0,0.0,False,,,@kalil_nasc
@taoquei1 @leandroruschel vc tem a matéria do Kalil da Istoé??,2020-11-11 20:58:12,pt,,0.0,0.0,@taoquei1,Rafael Moraes,,2459.0,18587.0,206.0,185.0,0.0,False,,,@rafaelnonato94
Ele quer MUITO um conceito sexy https://t.co/Gf7mjwCFT2,2020-11-11 20:57:48,pt,,2.0,0.0,,Aurea,"bts & txt | universitária | lendo HP | sou legal, podem interagir comigo ^^",7213.0,24954.0,1591.0,980.0,3.0,False,,,@aurea_hjk
"VOU DE KALIL

EU VOU DE KALIL MAIS UMA VEZ

NESSA CIDADE NINGUÉM FAZ O QUE ELE FEZ https://t.co/ZkFMRzQn0d",2020-11-11 20:57:28,pt,,0.0,0.0,,payla 🌹BH É DUDA 12000,"assim como a nara leão, tenho muitos amigos e sou popular.                                                          ║refuse/resist║",363321.0,6544.0,2172.0,10808.0,53.0,False,,,@fuckinmadhatter
@Gabriel24090717 @Falagalo13 @Atletico Baba ovo de Kalil??? Kkkkkkk nao me conhece mesmo.,2020-11-11 20:57:28,pt,,0.0,0.0,@Gabriel24090717,Fernando,ATLETICANO Publicitário - gosto muito de jogar e ver tênis. Futebol é um vício desde pequeno e o GALO é uma paixão desde que nasci,32176.0,36377.0,1259.0,1496.0,7.0,False,,,@13Frc
"ATENÇÃO PATRIOTAS!!!

(ESTES CANDIDATOS ESTÃO ALINHADOS E APOIADOS PELO PRESIDENTE BOLSONARO)

CRIVELLA (10) (Rio de Janeiro)

RUSSOMANO (10) (São Paulo)

BRUNO ENGLER (28)(Belo Horizonte)

GUSTAVO GAYER (27) (Goiânia)

MARISA LOBO (70) (Curitiba)

DELEGADA PATRÍCIA (19) (Recife) https://t.co/mUVwLgHloL",2020-11-11 20:57:15,pt,BR,2.0,3.0,,💙💛💚Débora.B.P.💚💛💙,"🇧🇷 Brasileira - 🇧🇷Patriota - 🇧🇷Bolsonaro - 🇧🇷SP
TAMO JUNTO - 😎👉👉 🇧🇷 - MITOOOO!!!!!...",65536.0,32902.0,12128.0,17595.0,7.0,False,,,@deborabpaim
"MESA DE APOSTAS DAS ELEIÇÕES P/ EXECUTIVO:

-qual será o percentual de Kalil? 60? 65? 70%?
-quem será o segundo colocado? e com quantos pontos?
- e o terceiro? quantos pontos? https://t.co/RP1mo29Dlc",2020-11-11 20:55:40,pt,,0.0,0.0,,Marmac,"por motivos sanidade mental:

um post sobre geopolítica;
um meme;
um rascunho de crítica econômica;
um vídeo de bichinho;
uma fofoca de política;
(...)",11630.0,25339.0,485.0,400.0,4.0,False,,,@_marmac
"@ArmandoKalil @macmarcoaurelio Calma Kalil, o homi é da paz.",2020-11-11 20:53:51,pt,,0.0,0.0,@ArmandoKalil,Tarcísio Kelson,Product Designer,4071.0,1065.0,235.0,100.0,0.0,False,,,@tarcisiokelson
@nanda_kalil ne nada,2020-11-11 20:51:32,pt,,0.0,0.0,@nanda_kalil,lex luthor ⚓,cega ele vovó,16800.0,9608.0,468.0,559.0,0.0,False,,,@Rbritto157
"Candidatos indicados por BOLSONARO:

CRIVELLA- Rio de Janeiro 
RUSSOMANO- São Paulo 
BRUNO ENGLER- Belo Horizonte 
GUSTAVO GAYER- Goiânia 
MARISA LOBO- Curitiba
DELEGADA PATRÍCIA- Recife
Coronel Menezes- Manaus

Copie e cole....",2020-11-11 20:51:32,pt,,0.0,1.0,,Arrudhynha APB38,"Viver na paz e com dignidade. 
Aguardando dias melhores!",8282.0,8599.0,1007.0,1173.0,2.0,False,,,@arrudhynhaverus
