Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"Mano o cara tá cagando no banheiro da autoescola, que fedor lazarento kakakakkakakakakakak",2020-10-28 21:00:14,pt,,0.0,0.0,,kalil,CWB-PR Muay Thai 🥊 Voleibol 🏐 Engenharia de produção 3/10📚.,1463.0,951.0,38.0,35.0,0.0,False,,,@kalil_andryll
"kalixo tá enrolado. e se investigar na pbh capaz de encontrar mais maracutaia.

https://t.co/cZgeLDcBMH",2020-10-28 21:00:13,pt,,0.0,0.0,,Facínora,"We are Gaming Room and we are going to kick your fucking ass whenever we feel like it.

apoie-me: https://t.co/7ZMgZprhjy",47932.0,77580.0,995.0,1128.0,7.0,False,,,@GamingRoom
Se for verdade o Kalil prova que é da mesma laia do Ciro e realmente pode ser o vice dele. https://t.co/ACxWOyY0J1,2020-10-28 20:59:26,pt,,1.0,0.0,,Brenim Menin 🅰️,"Brenin, um apaixonado pelo Atlético / Direita volver / Ofendeu é block /
Empreendedor digital /
Vloguer do CamisaDoze / politicamente incorreto",12768.0,17442.0,291.0,2731.0,5.0,False,,,@brenimgt13
"@kalil_macedo02 Otimo levantamento. Precisa de investimento $$$, e a Situação do Clube piorou ainda mais. 

Uma pergunta: São Paraibanos que viveram na Paraíba? Pois pode ter somente nascido aqui e migrado para outros estados.",2020-10-28 20:59:20,pt,,0.0,0.0,@kalil_macedo02,alvinegrodaestrelavermelha,"Aqui é Botafogo da Paraíba, com orgulho!
Sempre, Alvinegro.
Sempre, Estrela Vermelha.
Sempre, Botafogo.
Mas... pode me chamar de BELO, também.",228.0,129.0,22.0,3.0,0.0,False,,,@AlvinegroEV
"OBRIGADO SENHOR PRESIDENTE! (MANIFESTAÇÃO HOJE - 28/10/2020, PELA MANHÃ)
ENDIREITA BH!!!
BRUNO ENGLER PREFEITO - B28
@BrunoEnglerDM @CoronelRomualdo @taoquei1 @cabojunioamaral https://t.co/BSpD7GwlQh",2020-10-28 20:58:59,pt,,0.0,0.0,,Felício,"""Todas as coisas me são lícitas, mas nem tudo me convém"" - Apóstolo Paulo",142.0,702.0,80.0,21.0,0.0,False,,,@CelFelicio
"Minha áurea foi muito bem representada pelo jojo

Fracassado, desanimado e cômico/trágico

Prometo não decepcionar",2020-10-28 20:58:40,pt,BR,0.0,0.0,@varelathegoat,leona do deck,"Nem amável, nem da marvel. INFP-T",4082.0,3892.0,166.0,165.0,0.0,False,,,@varelathegoat
"Rafael Menin doou 500k p/ o cruzeirense e reaça JVX.
Ricardo Guimarães doou 300k p/ o bozominion Bruno Engler, 200k p/ Marcelo Souza e 100k p/ Lafayette Andrada, q utiliza o fato de torcer p/ o Cruzeiro, como sustentação p/ a campanha.
Os mecenas do Galo estão me dando vergonha.",2020-10-28 20:58:32,pt,,3.0,0.0,,Ferds,"Atleticano, publicitário, protetor de animais, fogo nos racistas e fascistas, fora Bozo e FIQUE EM CASA!",64561.0,85335.0,756.0,2655.0,14.0,False,,,@ferdsmg
"EM: Domingo em BH é para… 
Luisa Barreto: Curtir os parques e praças com a família",2020-10-28 20:58:13,pt,,1.0,0.0,@em_com,Estado de Minas,"Perfil oficial do Jornal Estado de Minas. 
Instagram: https://t.co/4uq8KBjKVN
Facebook: https://t.co/O2yXRhczuW",233202.0,595.0,359.0,541894.0,910.0,True,,,@em_com
"EM:Uma palavra do ""mineirês"" que você mais usa
Luisa Barreto: uai",2020-10-28 20:58:12,pt,,1.0,0.0,@em_com,Estado de Minas,"Perfil oficial do Jornal Estado de Minas. 
Instagram: https://t.co/4uq8KBjKVN
Facebook: https://t.co/O2yXRhczuW",233202.0,595.0,359.0,541894.0,910.0,True,,,@em_com
"EM: O melhor de BH
Luisa Barreto: Os belo-horizontinos",2020-10-28 20:58:12,pt,,1.0,0.0,@em_com,Estado de Minas,"Perfil oficial do Jornal Estado de Minas. 
Instagram: https://t.co/4uq8KBjKVN
Facebook: https://t.co/O2yXRhczuW",233202.0,595.0,359.0,541894.0,910.0,True,,,@em_com
"EM: O pior de BH
Luisa Barreto: Os espaços públicos que foram abandonados pela prefeitura",2020-10-28 20:58:11,pt,,1.0,0.0,@em_com,Estado de Minas,"Perfil oficial do Jornal Estado de Minas. 
Instagram: https://t.co/4uq8KBjKVN
Facebook: https://t.co/O2yXRhczuW",233202.0,595.0,359.0,541894.0,910.0,True,,,@em_com
